,currentThrust,sent_time_ns,recv_time_ns,latency,currentTimestep,currentTime,totalTimestepsRun,versions,drag,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
2.5,123191000.0,130803265089300,130803295976600,30887300,5,5,11,2,341184.86551148794,30628.52738619129,6341020.596916323,1056836.7661527197,7828857.3630690435,46048724.402781196,5.881921494700642,5.881921494700642,28.756779885035446,28.756779885035446,85.77385739394876,62.62005795652183
2.6,123191000.0,130803389063800,130803498321800,109258000,6,6,12,2,537717.6675517951,30628.52738619129,6314767.573442444,1052461.2622404066,7798228.835682852,46152657.45439943,5.918351259867596,5.918351259867596,34.67513114490304,34.67513114490304,120.44898853885181,62.535690550121814
2.7,123191000.0,130803529369300,130803577142600,47773300,7,7,13,2,779225.3440615595,30628.52738619129,6288514.549968566,1048085.7583280936,7767600.308296661,46211615.63154819,5.949278258072708,5.949278258072708,40.62440940297575,40.62440940297575,161.07339794182755,62.48783139064689
2.8,123191000.0,130803657085900,130803686754000,29668100,8,8,14,2,1065379.4399914977,30628.52738619129,6262261.526494687,1043710.2544157805,7736971.78091047,46225927.389276795,5.974679590189359,5.974679590189359,46.59908899316511,46.59908899316511,207.67248693499266,62.47621385549529
2.9,123191000.0,130803781658200,130803842152000,60493800,9,9,15,2,1395522.8148522417,30628.52738619129,6236008.503020809,1039334.7505034675,7706343.253524278,46196249.86807457,5.994574644329271,5.994574644329271,52.59366363749438,52.59366363749438,260.26615057248705,62.50030451244444
2.10,123191000.0,130803872713500,130803935951200,63237700,10,10,16,2,1768673.8659543695,30628.52738619129,6209755.479546931,1034959.2465911545,7675714.726138087,46123564.67063099,6.009025389331701,6.009025389331701,58.602689026826084,58.602689026826084,318.8688395993131,62.559306547855776
2.11,123191000.0,130803951928700,130803983721900,31793200,11,11,17,2,2183535.3899698267,30628.52738619129,6183502.456073052,1030583.7426788415,7645086.198751896,46009169.00027408,6.018136068601207,6.018136068601207,64.62082509542729,64.62082509542729,383.4896646947404,62.652166960026236
2.12,123191000.0,130804106697400,130804122712600,16015200,12,12,18,2,2638507.914436759,30628.52738619129,6157249.432599174,1026208.2387665284,7614457.671365704,45854662.32946567,6.0220522995226435,6.0220522995226435,70.64287739494993,70.64287739494993,454.13254208969033,62.77758738100537
2.13,123191000.0,130804262458800,130804277769900,15311100,13,13,19,2,3131707.219039538,30628.52738619129,6130996.4091252955,1021832.7348542154,7583829.143979513,45661928.878521435,6.020959598591504,6.020959598591504,76.66383699354144,76.66383699354144,530.7963790832317,62.934038299452524
2.14,123191000.0,130804403113500,130804434523000,31409500,14,14,20,2,3660985.6639058655,30628.52738619129,6104743.385651417,1017457.2309419024,7553200.616593322,45433116.28731365,6.015081366633301,6.015081366633301,82.67891836017473,82.67891836017473,613.4752974434065,63.11977637383117
2.15,123191000.0,130804528939800,130804575850100,46910300,15,15,21,2,4223956.85263579,30628.52738619129,6078490.362177539,1013081.7270295894,7522572.0892071305,45170610.952242255,6.004676381506526,6.004676381506526,88.68359474168126,88.68359474168126,702.1588921850878,63.33286445256369
2.16,123191000.0,130804715474500,130804746602700,31128200,16,16,22,2,4818023.084531036,30628.52738619129,6052237.33870366,1008706.2231172763,7491943.561820939,44877010.574005544,5.990035857010388,5.990035857010388,94.67363059869164,94.67363059869164,796.8325227837794,63.571193858313066
2.17,123191000.0,130804902247700,130804949927800,47680100,17,17,23,2,5440404.995937057,30628.52738619129,6025984.315229782,1004330.7192049633,7461315.034434748,44555094.51625807,5.97148013595883,5.97148013595883,100.64511073465047,100.64511073465047,897.4776335184299,63.83250844927141
2.18,123191000.0,130805060453000,130805091337300,30884300,18,18,24,2,6088172.756237741,30628.52738619129,5999731.2917559035,999955.2152926503,7430686.507048557,44207792.609615915,5.949355092249087,5.949355092249087,106.59446582689957,106.59446582689957,1004.0720993453294,64.11442994243417
2.19,123191000.0,130805201054800,130805217255500,16200700,19,19,25,2,6758278.170381262,30628.52738619129,5973478.268282025,995579.7113803372,7400057.979662365,43838153.04913093,5.9240283210768965,5.9240283210768965,112.51849414797647,112.51849414797647,1116.590593493306,64.41448397274887
2.20,123191000.0,130805390139200,130805436943000,46803800,20,20,26,2,7447587.046441805,30628.52738619129,5947225.244808147,991204.2074680242,7369429.452276174,43449310.02672893,5.895885198182998,5.895885198182998,118.41437934615946,118.41437934615946,1235.0049728394654,64.73012636740596
2.21,123191000.0,130805543902800,130805621497000,77594200,21,21,27,2,8152911.212333109,30628.52738619129,5920972.221334268,986828.7035557112,7338800.924889983,43044451.71449615,5.865324888226402,5.865324888226402,124.27970423438586,124.27970423438586,1359.2846770738513,65.05876913532957
2.22,123191000.0,130805733233100,130805764083400,30850300,22,22,28,2,8871039.608323572,30628.52738619129,5894719.19786039,982453.1996433982,7308172.397503791,42626789.17216423,5.832756379245242,5.832756379245242,130.1124606136311,130.1124606136311,1489.3971376874824,65.39780570645239
2.23,123191000.0,130805886926700,130805918781400,31854700,23,23,29,2,9598767.938799355,30628.52738619129,5868466.174386512,978077.6957310851,7277543.8701176,42199526.69534698,5.798594614952842,5.798594614952842,135.91105522858393,135.91105522858393,1625.3081929160664,65.74463500146359
2.24,123191000.0,130806076527100,130806091205600,14678500,24,24,30,2,11070405.353929812,30628.52738619129,5842213.150912633,973702.1918187721,7246915.342731409,41765834.05310277,5.7632567896620355,5.7632567896620355,141.67431201824596,141.67431201824596,1766.9825049343124,66.09668396790126
2.25,123191000.0,130806199972800,130806215815300,15842500,25,25,31,2,11808177.927389361,30628.52738619129,5815960.127438755,969326.6879064591,7216286.8153452175,41328820.98753361,5.727158862318098,5.727158862318098,147.40147088056406,147.40147088056406,1914.3839758148765,66.45142828004188
2.27,123191000.0,130806342007700,130806373291500,31283800,27,27,33,2,12543320.540118234,30628.52738619129,5789707.103964876,964951.1839941461,7185658.287959026,40891514.26773258,5.690712336857752,5.690712336857752,153.09218321742182,153.09218321742182,2067.4761590322983,66.8064109653038
2.28,123191000.0,130806468488300,130806482924500,14436200,28,28,34,2,13273030.017015113,30628.52738619129,5763454.080490998,960575.680081833,7155029.760572835,40456837.50866225,5.654321346306079,5.654321346306079,158.7465045637279,158.7465045637279,2226.222663596026,67.15925878622444
2.29,123191000.0,130806624727500,130806655915200,31187700,29,29,35,2,13994637.958685225,30628.52738619129,5737201.05701712,956200.17616952,7124401.233186644,40027593.88542391,5.618380068063648,5.618380068063648,164.36488463179157,164.36488463179157,2390.5875482278175,67.50769627211085
2.30,123191000.0,130806780421400,130806811493200,31071800,30,30,36,2,14705622.14263065,30628.52738619129,5710948.033543241,951824.672257207,7093772.705800452,39606451.79741233,5.583270488075666,5.583270488075666,169.94815511986724,169.94815511986724,2560.535703347685,67.84955735612802
2.31,123191000.0,130806919949500,130806935253800,15304300,31,31,37,2,15403615.066913318,30628.52738619129,5684695.010069363,947449.168344894,7063144.178414261,39195933.467125446,5.549360522317029,5.549360522317029,175.49751564218425,175.49751564218425,2736.033218989869,68.18279463018771
2.32,123191000.0,130807109064700,130807109527800,463100,32,32,38,2,16086409.766414577,30628.52738619129,5632188.963121606,938698.1605202679,7001887.123641878,38798406.39650132,5.5170024955194314,5.5170024955194314,181.01451813770367,181.01451813770367,2917.047737127573,68.50548628024667
2.33,123191000.0,130807298346800,130807314095600,15748800,33,33,39,2,16751963.075324016,30628.52738619129,5605935.939647728,934322.6566079549,6971258.596255687,38416077.55065859,5.4865319694952905,5.4865319694952905,186.50105010719898,186.50105010719898,3103.5487872347717,68.81584080764131
2.34,123191000.0,130807437224600,130807498688500,61463900,34,34,40,2,17398396.543369614,30628.52738619129,5579682.916173849,929947.1526956419,6940630.068869496,38050990.095407695,5.458266906903318,5.458266906903318,191.95931701410228,191.95931701410228,3295.508104248874,69.11219967740526
2.35,123191000.0,130807560720400,130807561677400,957000,35,35,41,2,18023995.23779466,30628.52738619129,5553429.892699971,925571.6487833288,6910001.541483304,37705022.48102064,5.432507150919529,5.432507150919529,197.3918241650218,197.3918241650218,3492.899928413896,69.393038062017
2.36,123191000.0,130807702215400,130807733815000,31599600,36,36,42,2,18627204.678748958,30628.52738619129,5527176.8692260925,921196.1448710158,6879373.014097113,37379889.64025412,5.409534197040155,5.409534197040155,202.80135836206196,202.80135836206196,3695.7012867759577,69.65696386890754
2.37,123191000.0,130807859978700,130807889337500,29358800,37,37,43,2,19206626.163394164,30628.52738619129,5500923.845752214,916820.6409587028,6848744.486710922,37077146.05295836,5.389611230119431,5.389611230119431,208.1909695921814,208.1909695921814,3903.892256368139,69.90271525277142
2.38,123191000.0,130808014304000,130808029551600,15247600,38,38,44,2,19761010.73458314,30628.52738619129,5474670.822278336,912445.1370463897,6818115.959324731,36798190.42197168,5.372983397668532,5.372983397668532,213.56395298984992,213.56395298984992,4117.456209357989,70.12915681992054
2.39,123191000.0,130808167090700,130808214661000,47570300,39,39,45,2,20289252.044529196,30628.52738619129,5448417.798804457,908069.6331340767,6787487.431938539,36544271.70444125,5.359878289318595,5.359878289318595,218.92383127916852,218.92383127916852,4336.380040637157,70.33527473237392
2.40,123191000.0,130841874856700,130841906509800,31653100,40,40,289,2,2.873793139704074,30628.52738619129,5395911.7518567005,899318.6253094509,6726230.377166157,36107383.26261629,5.343811935793036,5.343811935793036,229.72965620461613,229.72965620461613,4795.884165942645,70.68991788148786
2.41,123191000.0,130808450183400,130808481954100,31770700,41,41,47,2,21263543.88962792,30628.52738619129,5395911.7518567005,899318.6253094507,6726230.377166157,36115835.792812735,5.345062891350321,5.345062891350321,229.61940076258506,229.61940076258506,4790.273779270978,70.68305656029034
2.42,123191000.0,130808609621200,130808639198000,29576800,42,42,48,2,21708019.778163906,30628.52738619129,5369658.728382822,894943.1213971376,6695601.849779965,35943136.11037208,5.343726589025243,5.343726589025243,234.9631273516103,234.9631273516103,5025.236906622588,70.82324511500671
2.43,123191000.0,130808763124000,130808810705200,47581200,43,43,49,2,22123184.731310703,30628.52738619129,5343405.704908944,890567.6174848246,6664973.322393774,35799126.07549463,5.346662910768967,5.346662910768967,240.30979026237927,240.30979026237927,5265.546696884968,70.94014491684081
2.44,123191000.0,130808904742800,130808934360300,29617500,44,44,50,2,22508515.667963006,30628.52738619129,5317152.681435065,886192.1135725116,6634344.795007583,35684426.976006374,5.354023977276784,5.354023977276784,245.66381423965606,245.66381423965606,5511.210511124624,71.03325163688389
2.45,123191000.0,130809014309900,130809045980300,31670400,45,45,51,2,22863578.414225962,30628.52738619129,5290899.657961187,881816.6096601986,6603716.267621391,35599561.893012606,5.365949915627187,5.365949915627187,251.02976415528326,251.02976415528326,5762.240275279907,71.1021406652981
2.46,123191000.0,130809171723900,130809203360600,31636700,46,46,52,2,23188018.61505014,30628.52738619129,5264646.634487309,877441.1057478855,6573087.7402352,35544965.00040819,5.382569989369215,5.382569989369215,256.41233414465245,256.41233414465245,6018.652609424559,71.14645956246139
2.47,123191000.0,130809344052100,130809359197000,15144900,47,47,53,2,23481552.968646675,30628.52738619129,5238393.61101343,873065.6018355725,6542459.212849009,35527922.15330455,5.430362039327624,5.430362039327624,267.2466999120623,267.2466999120623,6547.715647209357,71.1602940528898
2.48,123191000.0,130809500526500,130809561187300,60660800,48,48,54,2,23743960.877611462,30628.52738619129,5212140.587539552,868690.0979232595,6511830.685462818,35565980.09799829,5.461748287988618,5.461748287988618,272.7084482000509,272.7084482000509,6820.4240954094075,71.1294006071886
2.49,123191000.0,130809639068200,130809686198900,47130700,49,49,55,2,23975076.5944516,30628.52738619129,5185887.564065673,864314.5940109465,6481202.158076626,35635330.23481669,5.4982593299314555,5.4982593299314555,278.20670752998234,278.20670752998234,7098.6308029393895,71.07310579927373
2.50,123191000.0,130809794624000,130809809863900,15239900,50,50,56,2,24174781.9246191,30628.52738619129,5159634.540591795,859939.0900986334,6450573.630690435,35736090.75830773,5.539986488687322,5.539986488687322,283.74669401866964,283.74669401866964,7382.377496958059,70.99131368500319
2.51,123191000.0,130809932625700,130809994701400,62075700,51,51,57,2,24342999.537315417,30628.52738619129,5133381.517117917,855563.5861863204,6419945.103304244,35868338.99926995,5.587016465422591,5.587016465422591,289.33371048409225,289.33371048409225,7671.711207442151,70.88396149128593
2.52,123191000.0,130810105327200,130810135258100,29930900,52,52,58,2,24479686.923270848,30628.52738619129,5107128.493644038,851188.0822740074,6389316.575918052,36032117.46697305,5.639432173823028,5.639432173823028,294.9731426579153,294.9731426579153,7966.684350100067,70.75101471132383
2.53,123191000.0,130810258019400,130810273854300,15834900,53,53,59,2,24584831.029396236,30628.52738619129,5080875.47017016,846812.5783616944,6358688.048531861,36227439.2145062,5.697313492658387,5.697313492658387,300.67045615057367,300.67045615057367,8267.35480625064,70.59246274930295
2.54,123191000.0,130810385523200,130810401383000,15859800,54,54,60,2,24658443.59259052,30628.52738619129,5054622.446696281,842437.0744493813,6328059.52114567,36454292.50497046,5.760737929716969,5.760737929716969,306.43119408029065,306.43119408029065,8573.78600033093,70.40831513262296
2.55,123191000.0,130810526973900,130810573823800,46849900,55,55,61,2,24700557.18895842,30628.52738619129,5028369.423222403,838061.5705370683,6297430.993759478,36712644.76226109,5.829781191511581,5.829781191511581,312.26097527180224,312.26097527180224,8886.046975602732,70.19859830485905
2.56,123191000.0,130810668507900,130810700668900,32161000,56,56,62,2,24711222.010126866,30628.52738619129,5002116.399748525,833686.0666247553,6266802.466373287,37002445.79475118,5.904517653667991,5.904517653667991,318.16549292547023,318.16549292547023,9204.212468528203,69.9633530089445
2.57,123191000.0,130810810320000,130810841863200,31543200,57,57,63,2,24690503.375093084,30628.52738619129,4975863.376274646,829310.5627124422,6236173.938987096,37323630.283443496,5.985020727229066,5.985020727229066,324.1505136526993,324.1505136526993,9528.362982180903,69.70263226741929
2.58,123191000.0,130810997983300,130811044318600,46335300,58,58,64,2,24638479.983938422,30628.52738619129,4949610.352800768,824935.0588001292,6205545.411600905,37676119.5282567,6.071363116257823,6.071363116257823,330.22187676895715,330.22187676895715,9858.58485894986,69.41649996488647
2.59,123191000.0,130811169661000,130811185604700,15943700,59,59,65,2,24555242.918620758,30628.52738619129,4923357.3293268895,820559.5548878162,6174916.884214713,38059822.4472329,6.163616962120958,6.163616962120958,336.3854937310781,336.3854937310781,10194.970352680939,69.1050300369078
2.60,123191000.0,130861234606300,130861297337600,62731300,60,60,438,2,147.51875489554055,30628.52738619129,4870851.282379133,811808.5470631904,6113659.829442331,38481879.03970325,6.263032723217815,6.263032723217815,342.75844106944766,342.75844106944766,10545.360815560733,68.7624266060806
2.61,123191000.0,130811497891200,130811529235900,31344700,61,61,67,2,24295553.27648228,30628.52738619129,4870851.282379133,811808.5470631901,6113659.829442331,38920443.79668845,6.366144810552643,6.366144810552643,349.0134924113326,349.0134924113326,10886.63119269305,68.40642271213932
2.62,123191000.0,130811640374900,130811688179800,47804900,62,62,68,2,24119346.33961793,30628.52738619129,4844598.258905254,807433.0431508771,6083031.302056139,39397116.58721134,6.476559897677106,6.476559897677106,355.4900523090097,355.4900523090097,11242.12124500206,68.01948471299742
2.63,123191000.0,130811763665400,130811777904300,14238900,63,63,69,2,23767762.275453873,30628.52738619129,4818345.235431376,803057.5392385641,6052402.774669948,40049166.50503393,6.617068955265937,6.617068955265937,362.10712126427563,362.10712126427563,11604.228366266336,67.49018474967008
2.64,123191000.0,130811919464100,130811950349900,30885800,64,64,70,2,23297940.154857166,30628.52738619129,4792092.2119574975,798682.0353262511,6021774.247283757,40819454.479289174,6.778642440423869,6.778642440423869,368.8857637046995,368.8857637046995,11973.114129971036,66.8649053264531
2.65,123191000.0,130812076981300,130812141657200,64675900,65,65,71,2,22817864.170135718,30628.52738619129,4765839.188483619,794306.531413938,5991145.719897565,41599996.31766917,6.943579452509199,6.943579452509199,375.8293431572087,375.8293431572087,12348.943473128245,66.23130235352487
2.66,123191000.0,130812266303500,130812267798400,1494900,66,66,72,2,22327851.486705516,30628.52738619129,4739586.165009741,789931.027501625,5960517.192511374,42390474.854757905,7.111878631608697,7.111878631608697,382.9412217888174,382.9412217888174,12731.884694917062,65.58963328915432
2.67,123191000.0,130812453742900,130812469642000,15899100,67,67,73,2,21828266.54455769,30628.52738619129,4713333.141535862,785555.523589312,5929888.665125183,43190525.65056426,7.283530617459323,7.283530617459323,390.22475240627676,390.22475240627676,13122.109447323339,64.94019396663373
2.68,123191000.0,130812609195700,130812670833800,61638100,68,68,74,2,21319521.98294347,30628.52738619129,4687080.118061984,781180.019676999,5899260.1377389915,43999736.065837026,7.458517685016141,7.458517685016141,397.6832700912929,397.6832700912929,13519.792717414632,64.28331934488962
2.69,123191000.0,130812734794200,130812750938900,16144700,69,69,75,2,20802079.365744077,30628.52738619129,4660827.094588106,776804.5157646859,5868631.6103528,44817644.53669495,7.636813402571146,7.636813402571146,405.32008349386405,405.32008349386405,13925.112800908495,63.61938409730017
2.70,123191000.0,130812890471200,130812922359800,31888600,70,70,76,2,20276449.67194982,30628.52738619129,4634574.071114227,772429.0118523729,5838003.082966609,45643740.084147744,7.818382319345002,7.818382319345002,413.13846581320905,413.13846581320905,14338.251266721703,62.948803009840205
2.71,123191000.0,130813029646600,130813045568200,15921600,71,71,77,2,19743193.515018333,30628.52738619129,4608321.047640349,768053.5079400599,5807374.555580418,46477462.09473777,8.003179689878396,8.003179689878396,421.14164550308743,421.14164550308743,14759.39291222479,62.27203115914493
2.72,123191000.0,130813185805600,130813247470400,61664800,72,72,78,2,19202921.05471854,30628.52738619129,4582068.02416647,763678.0040277469,5776746.028194226,47318200.4086961,8.191151242888804,8.191151242888804,429.3327967459762,429.3327967459762,15188.725708970765,61.58956384094934
2.73,123191000.0,130813341246200,130813372478200,31232000,73,73,79,2,18656291.565482784,30628.52738619129,4555815.000692592,759302.5001154338,5746117.500808035,48165295.751590386,8.382233002512958,8.382233002512958,437.7150297484892,437.7150297484892,15626.440738719255,60.90193621969918
2.75,123191000.0,130813563735800,130813577443800,13708000,75,75,81,2,17546838.899634417,30628.52738619129,4529561.977218714,754926.9962031208,5715488.973421844,49018040.54435524,8.576351170004674,8.576351170004674,446.29138091849387,446.29138091849387,16072.732119637749,60.209722671010674
2.76,123191000.0,130813720476600,130813751479400,31002800,76,76,82,2,16985570.467388574,30628.52738619129,4503308.953744835,750551.4922908078,5684860.446035652,49875680.12475583,8.773422073981909,8.773422073981909,455.0648029924758,455.0648029924758,16527.796922630223,59.51353579015039
2.77,123191000.0,130813936279300,130813967185800,30906500,77,77,83,2,16421050.699785525,30628.52738619129,4450802.906797078,741800.4844661817,5623603.39126327,50737414.41066021,8.973352197194464,8.973352197194464,464.03815518967025,464.03815518967025,16991.835077819895,58.81402504187789
2.78,123191000.0,130814076523400,130814139306200,62782800,78,78,84,2,15854163.632220855,30628.52738619129,4424549.8833232,737424.9805538687,5592974.8638770785,51602400.0319218,9.176038287495588,9.176038287495588,473.21419347716585,473.21419347716585,17465.04927129706,58.111875029895195
2.79,123191000.0,130814265632200,130814279718900,14086700,79,79,85,2,15285830.834929023,30628.52738619129,4398296.859849322,733049.4766415557,5562346.336490887,52469752.953145005,9.381367560227636,9.381367560227636,482.5955610373935,482.5955610373935,17947.644832334452,57.407803367823135
2.80,123191000.0,130881578619500,130881641077700,62458200,80,80,576,2,33.119257714682284,30628.52738619129,1221681.0195100443,203613.5032516793,1856294.5227617398,104680246.75846022,55.47669087526039,55.47669087526039,3609.957290060662,3609.957290060662,214980.44233419586,15.02605972963916
2.81,123191000.0,130814624731000,130814687280500,62549500,81,81,87,2,14148679.59574743,30628.52738619129,4345790.812901565,724298.4688169296,5501089.281718505,54207840.528010674,9.79945875742063,9.79945875742063,501.9842377933728,501.9842377933728,18941.81384916378,55.99691493046516
2.82,123191000.0,130814813176200,130814888132800,74956600,82,82,88,2,13581856.53592064,30628.52738619129,4319537.7894276865,719922.9649046166,5470460.754332313,55076634.55059405,10.0119506755921,10.0119506755921,511.99618846896493,511.99618846896493,19453.810037632746,55.291673457806134
2.83,123191000.0,130814980462100,130815010674300,30212200,83,83,89,2,13017568.64211589,30628.52738619129,4293284.765953808,715547.4609923036,5439832.226946122,55943923.46407936,10.226546899139118,10.226546899139118,522.222735368104,522.222735368104,19976.03277300085,54.58765375386242
2.84,123191000.0,130815151584500,130815183242400,31657900,84,84,90,2,12456860.16059389,30628.52738619129,4267031.74247993,711171.9570799905,5409203.699559931,56808677.21154265,10.443093617876995,10.443093617876995,532.6658289859811,532.6658289859811,20508.69860198683,53.885691964881644
2.85,123191000.0,130815339405500,130815387016700,47611200,85,85,91,2,11900783.426790878,30628.52738619129,4240778.719006051,706796.4531676775,5378575.172173739,57669851.546723194,10.661430914760146,10.661430914760146,543.3272599007412,543.3272599007412,21052.02586188757,53.18663575527174
2.86,123191000.0,130815528760500,130815620896500,92136000,86,86,92,2,11350392.370733047,30628.52738619129,4214525.695532173,702420.9492553645,5347946.644787548,58526394.13418473,10.881393726162504,10.881393726162504,554.2086536269037,554.2086536269037,21606.234515514476,52.49133935580949
2.87,123191000.0,130815713650200,130815728345800,14695600,87,87,93,2,10806735.684751272,30628.52738619129,4188272.6720582945,698045.4453430515,5317318.117401357,59377251.04390111,11.102812908908504,11.102812908908504,565.3114665358122,565.3114665358122,22171.545982050287,51.80065829167625
2.88,123191000.0,130815868422900,130815899975100,31552200,88,88,94,2,10270849.72081115,30628.52738619129,4162019.648584416,693669.9414307384,5286689.5900151655,60221373.58354142,11.32551640769095,11.32551640769095,576.6369829435032,576.6369829435032,22748.18296499379,51.115443836366765
2.89,123191000.0,130816056607100,130816086339800,29732700,89,89,95,2,9743751.194833718,30628.52738619129,4135766.6251105377,689294.4375184254,5256061.062628974,61885289.78077603,11.774081207082148,11.774081207082148,599.9603946647994,599.9603946647994,23936.329673116306,49.76476383763746
2.90,123191000.0,130816244980900,130816276780600,31799700,90,90,96,2,9226429.784585075,30628.52738619129,4109513.6016366594,684918.9336061124,5225432.535242783,62703077.04468323,11.999595559177942,11.999595559177942,611.9599902239773,611.9599902239773,24548.289663340285,49.10092697950075
2.91,123191000.0,130816436217500,130816468037500,31820000,91,91,97,2,8719840.71571987,30628.52738619129,4083260.578162781,680543.4296937993,5194804.007856592,63510131.96720696,12.225703197108997,12.225703197108997,624.1856934210863,624.1856934210863,25172.47535676137,48.44580207384715
2.93,123191000.0,130816656281100,130816671471200,15190100,93,93,99,2,7541949.5393733205,30628.52738619129,4057007.5546889026,676167.9257814863,5164175.4804704,64453548.35089558,12.48089817912705,12.48089817912705,636.6665916002133,636.6665916002133,25809.141948361583,47.67998607780147
2.94,123191000.0,130816841201000,130816842228100,1027100,94,94,100,2,7033751.492301551,30628.52738619129,4004501.507741146,667416.9179568603,5102918.425698018,65288954.850870594,12.718098314391636,12.718098314391636,649.384689914605,649.384689914605,26458.526638276187,47.00184684687145
2.95,123191000.0,130816998609800,130817046156300,47546500,95,95,101,2,6551578.39625642,30628.52738619129,3978248.4842672674,663041.4140445472,5072289.898311826,66097618.75160089,12.952905227474714,12.952905227474714,662.3375951420797,662.3375951420797,27120.864233418266,46.34541585700181
2.96,123191000.0,130817172520800,130817219183800,46663000,96,96,102,2,6094712.856971497,30628.52738619129,3951995.460793389,658665.9101322342,5041661.370925635,66880257.701304555,13.18541704873056,13.18541704873056,675.5230121908103,675.5230121908103,27796.387245609076,45.71011055896571
2.97,123191000.0,130817359359600,130817374497100,15137500,97,97,103,2,5662432.4395980425,30628.52738619129,3925742.4373195106,654290.4062199212,5011032.843539444,67637589.09424801,13.415734242744259,13.415734242744259,688.9387464335546,688.9387464335546,28485.32599204263,45.0953486096809
2.98,123191000.0,130817561190400,130817621784200,60593800,98,98,104,2,5254005.910801504,30628.52738619129,3899489.413845632,649914.9023076082,4980404.3161532525,68370335.36528002,13.643960736243745,13.643960736243745,702.5827071697984,702.5827071697984,29187.90869921243,44.50054357438448
2.99,123191000.0,130817747265200,130817779902100,32636900,99,99,105,2,4868690.83421591,30628.52738619129,3873236.390371754,645539.3983952951,4949775.788767061,69765008.67797922,14.094579563846663,14.094579563846663,730.5474915127402,730.5474915127402,30634.909102674064,43.36842084407204
2.100,123191000.0,130901000500700,130901031360400,30859700,100,100,697,2,21.378803090830907,30628.52738619129,1142921.9490884098,190486.99151474013,1764408.940603166,105882126.91387986,60.00996961491472,60.00996961491472,3847.693871604404,3847.693871604404,230384.3926160628,14.050436384248965
2.101,123191000.0,130818077348900,130818172757100,95408200,101,101,107,2,4164362.948025134,30628.52738619129,3820730.343423997,636788.3905706691,4888518.733994679,71070268.27148706,14.538201066360978,14.538201066360978,759.4028962075772,759.4028962075772,32139.176694022855,42.30887948674249
